"","ACHILLEA MILLEFOLIUM","ALLIUM STELLATUM","AMBROSIA PSILOSTACHYA","AMORPHA CANESCENS","ANDROPOGON GERARDII","ANEMONE CYLINDRICA","ANTENNARIA NEGLECTA","ANTENNARIA PLANTAGINIFOLIA","ARTEMISIA CAMPESTRIS","ARTEMISIA FRIGIDA","ARTEMISIA LUDOVICIANA","ASTRAGALUS CRASSICARPUS","BOUTELOUA CURTIPENDULA","BOUTELOUA GRACILIS","CALAMOVILFA LONGIFOLIA","CAMPANULA ROTUNDIFOLIA","CAREX OBTUSATA","CASTILLEJA SESSILIFLORA","CERASTIUM ARVENSE","CHRYSOPSIS VILLOSA","CIRSIUM FLODMANII","COMANDRA UMBELLATA","DALEA CANDIDA","DALEA PURPUREA","ECHINACEA ANGUSTIFOLIA","ERIGERON STRIGOSUS","GAILLARDIA ARISTATA","GALIUM BOREALE","GEUM TRIFLORUM","HELIANTHUS PAUCIFLORUS","HEUCHERA RICHARDSONII","KOELERIA PYRAMIDATA","LIATRIS ASPERA","LIATRIS PUNCTATA","LINUM SULCATUM","LITHOSPERMUM CANESCENS","LOBELIA SPICATA","MONARDA FISTULOSA","MUHLENBERGIA CUSPIDATA","PEDIOMELUM ESCULENTUM","PENSTEMON GRACILIS","PHYSALIS VIRGINIANA","POLYGALA VERTICILLATA","PRUNUS PUMILA","ROSA ARKANSANA","SCHIZACHYRIUM SCOPARIUM","SOLIDAGO MISSOURIENSIS","SOLIDAGO NEMORALIS","SOLIDAGO PTARMICOIDES","SOLIDAGO RIGIDA","SORGHASTRUM NUTANS","SPOROBOLUS HETEROLEPIS","STIPA COMATA","STIPA SPARTEA","SYMPHORICARPOS OCCIDENTALIS","VIOLA PEDATIFIDA"
"ACHILLEA MILLEFOLIUM",0,0.173942869561207,0.0404343785275043,0.0788315763334381,0.197666882174815,0.0786080159083364,0.155173349688607,0.18363693725668,0.0938949116478645,0.0440923030426945,0.0520244767302253,0.0366757044950952,0.16421326467988,0.120335421509875,0.17274442262387,0.246106720832196,0.0776272449263263,0.0343118784358004,0.187435570514523,0.0361774206977902,0.130346864175022,0.138189929431081,0.109288282422129,0.100983317242919,0.176136761436189,0.092803548751172,0.154425831169933,0.137960207628975,0.140318369817133,0.0925152073213433,0.0864926004476391,0.0829864106335143,0.0199087725966219,0.183991978308213,0.0450797316112665,0.0681040778444786,0.119898935189145,0.121102353430779,0.0616726565105944,0.211373513878384,0.14203085944741,0.117636946095939,0.0453914147858945,0.105703777321455,0.166892312541161,0.108657420375492,0.1628163753138,0.0979798370492499,0.124287664175985,0.012020443963353,0.107345888002018,0.306033026009517,0.152963152700678,0.128629057270067,0.194572642383169,0.033548013647514
"ALLIUM STELLATUM",0.173942869561207,0,0.149657561351105,0.231922132372962,0.0318113515586208,0.200189836034794,0.0928533572110885,0.246993880223221,0.0954276717721967,0.150565140552592,0.215640440591832,0.142942052353438,0.132175058553791,0.0978416894327501,0.140142487167878,0.0978285318571035,0.110358776522538,0.164350261809639,0.0582025407311292,0.162578105607677,0.120918818156337,0.0557860553686015,0.071508107163194,0.116505386725728,0.109522216785054,0.115996692498142,0.0588109263309257,0.108464285664401,0.120021975032111,0.138834575732193,0.0898467549282968,0.098386662085955,0.178338388245817,0.0921085876717159,0.132787249867833,0.1181017214878,0.0894034616022439,0.133959294992868,0.149834529416068,0.11449393075347,0.0525868637242674,0.110867816604037,0.160201320482726,0.234630915760428,0.294000545622116,0.188464642925876,0.138850810470322,0.10700573683476,0.0613973386501206,0.185245527589529,0.0954709564920601,0.132298071951765,0.0702101064904311,0.0887571280852633,0.0607422750677923,0.158572197127845
"AMBROSIA PSILOSTACHYA",0.0404343785275043,0.149657561351105,0,0.119221910340442,0.169242924094986,0.114168072704542,0.116690677144922,0.214096639147383,0.0593280867272473,0.0643855826867132,0.0923352957269345,0.0478105973870216,0.123801054129441,0.0818673995317128,0.132310183993887,0.211724780672076,0.0772564155908808,0.0634050439845831,0.153545169134813,0.0641051780841607,0.0900257602745961,0.105929010446004,0.0795258700770658,0.0611190578083923,0.136680218257577,0.0983659459886083,0.120259788742208,0.0982249440955979,0.100042034014556,0.10730855144177,0.0599797370383385,0.0518270197868353,0.0322581204733829,0.146044334930746,0.0202593446702512,0.0699001337429241,0.0827223869181106,0.132736916569278,0.0228518058985915,0.172584582181347,0.109982157977185,0.0778842882973107,0.0139682245923044,0.14423695562971,0.206459097716387,0.137115894813726,0.122390345162777,0.0595550304669253,0.0932508088564748,0.051435805546692,0.0702046534672059,0.279302610383702,0.117127865623276,0.0910329620901018,0.160698220597186,0.00947913347375762
"AMORPHA CANESCENS",0.0788315763334381,0.231922132372962,0.119221910340442,0,0.259989889066133,0.0427456720242611,0.23122624680922,0.135505321265813,0.16785435323159,0.0816223154286196,0.0287323417669145,0.0926720938995326,0.242847163229578,0.196827379316645,0.25149380382835,0.315464990237567,0.121894055871897,0.0690006555437476,0.257266450684404,0.0703850041701679,0.208827169926894,0.207763170952135,0.178083726975213,0.179034427909727,0.253254740822474,0.122891348160677,0.225507401030746,0.215642238438451,0.218710031634979,0.10666868346958,0.154775642869974,0.155206112586334,0.0931723113250987,0.259065822662611,0.120008909693714,0.113824940610062,0.195143639872387,0.131257282715832,0.14028846291347,0.287360706806219,0.211196291071812,0.195461779997248,0.123334249671239,0.0385488444275576,0.0902821997484961,0.0825244886443943,0.241605895900343,0.174826667144588,0.193302704041479,0.0687187123636496,0.182882857657313,0.362663679365768,0.225994938540271,0.20410022645717,0.264211223429678,0.112211125311409
"ANDROPOGON GERARDII",0.197666882174815,0.0318113515586208,0.169242924094986,0.259989889066133,0,0.229947811852259,0.0884259964864991,0.278771461044829,0.111229793217335,0.17836851003314,0.242116443574072,0.169138808402894,0.125855170986353,0.104443919252501,0.132197697873116,0.0663975513926699,0.139520227680816,0.191557794860855,0.0398639705484813,0.189936119636221,0.123069626847695,0.0652635782454264,0.0897827372417587,0.126451341184231,0.0986602039212531,0.146886857658168,0.0584745073697632,0.108908667608455,0.119577242179332,0.169962453117068,0.111397359511719,0.11747267011806,0.199708963288448,0.077587591780706,0.154384887588732,0.146623223607379,0.0974621396660493,0.165765220720659,0.165619014143129,0.0937517914174468,0.061202835760532,0.116903710446747,0.178229029688775,0.264676420190849,0.324772671329603,0.219814909001261,0.133248306417198,0.11899543212782,0.0762303306083212,0.209349911549136,0.10663544108036,0.110235714467203,0.0684672250703955,0.0938693587970578,0.038784999953169,0.178543417543013
"ANEMONE CYLINDRICA",0.0786080159083364,0.200189836034794,0.114168072704542,0.0427456720242611,0.229947811852259,0,0.214169629180606,0.107228265288109,0.150404169688428,0.0575623186376455,0.0518781279571633,0.0737122195412097,0.232192395517346,0.181520927607458,0.241572468417888,0.289346477383707,0.0905553856816255,0.0515432135848985,0.232563704847048,0.0514783034862593,0.198086412593154,0.184249995706659,0.155255131513449,0.167705039018769,0.237647295189104,0.0860361978901462,0.202733865411422,0.202168418403628,0.207351613115938,0.066778092709069,0.133047933704383,0.136768286854331,0.0978016497599531,0.239922945388682,0.107670558007506,0.0843715629248813,0.178011696314109,0.0892978304161543,0.136976284244496,0.269087348534671,0.187222767820881,0.182939916535504,0.122696274645303,0.0351330147534286,0.0981253908240827,0.0412834594201918,0.232298342681574,0.161017397694191,0.169911038514319,0.0736903893914894,0.166656756540248,0.328282744842368,0.205158263419558,0.18696030409998,0.239196062995057,0.109992452560332
"ANTENNARIA NEGLECTA",0.155173349688607,0.0928533572110885,0.116690677144922,0.23122624680922,0.0884259964864991,0.214169629180606,0,0.292977601128506,0.0639432958862451,0.15660884029276,0.20666870636151,0.141114970484919,0.0393304070945711,0.0348813423891685,0.0476590084519915,0.102284153728174,0.132949142570938,0.164851562826447,0.0528370935273353,0.164201783817129,0.0384615416699524,0.0447576523678821,0.0635110775822423,0.0568988563594091,0.0243906962008066,0.151463517745877,0.0341024486164874,0.0237933983239774,0.0322734506544341,0.173237896506004,0.0822138364714075,0.0774265653491496,0.148677156828805,0.0297318441911892,0.111315428434532,0.134710461257894,0.0362906558118547,0.183630098010183,0.1027178911914,0.0562369871338041,0.0454488660169984,0.0408785330003776,0.119659620205038,0.248495514596896,0.312055642922728,0.220470562262695,0.0460591499865051,0.0572751573413707,0.053359422634426,0.166966960059191,0.0483480986231271,0.189013731301331,0.0227536707988049,0.0272919804986574,0.0584372055206461,0.125746324973901
"ANTENNARIA PLANTAGINIFOLIA",0.18363693725668,0.246993880223221,0.214096639147383,0.135505321265813,0.278771461044829,0.107228265288109,0.292977601128506,0,0.234045657231164,0.150077523719256,0.156291068458374,0.167373446324563,0.319380367257787,0.26538993268772,0.329300715600937,0.344607401001661,0.160375548453059,0.151625204193127,0.295134162669123,0.150534758425751,0.286919684202023,0.25380418963062,0.229507044817223,0.257785358961751,0.317368261007711,0.141731307141627,0.271998125756824,0.287172708018874,0.294882504182143,0.11979755093196,0.212273442327193,0.220563997139857,0.203415265565152,0.313432743648356,0.202288428881134,0.160173312300743,0.259464327886531,0.113739153737269,0.236608303178109,0.342558465965934,0.255513806814366,0.270482023225815,0.224854302902975,0.0976925750357633,0.0975731920562289,0.0771073581205727,0.321202134989187,0.248587006406898,0.241296272304216,0.180306271842296,0.250457613878169,0.354624981001623,0.278004944192455,0.267650553088565,0.300525674112115,0.212002403435467
"ARTEMISIA CAMPESTRIS",0.0938949116478645,0.0954276717721967,0.0593280867272473,0.16785435323159,0.111229793217335,0.150404169688428,0.0639432958862451,0.234045657231164,0,0.0928610990928989,0.144248432368672,0.0771737618225955,0.0853348350032947,0.0316718515170905,0.0952635363195102,0.152807984651496,0.074316947883195,0.100923822919921,0.0943762751636417,0.100259140281037,0.0537039780814559,0.0467833277875464,0.0244134649370121,0.029034829936496,0.0872446757898673,0.0955090046886677,0.0611017654920377,0.0532735281967765,0.0609620476166287,0.114863091071019,0.0229038680725285,0.0138047074204991,0.0911911902062536,0.0912115697423537,0.0489047929424096,0.073895192627454,0.0276626994191805,0.130673266198824,0.0547205413569276,0.119689395773128,0.0508718356181711,0.0370424407374041,0.067123382226315,0.1845910435795,0.248164433454011,0.159314148620682,0.0874029109132646,0.0173728442532885,0.0351225964603177,0.105901797892784,0.0165832528623411,0.221456598437968,0.059070550872476,0.0366538079014662,0.101536558448244,0.0688036877298143
"ARTEMISIA FRIGIDA",0.0440923030426945,0.150565140552592,0.0643855826867132,0.0816223154286196,0.17836851003314,0.0575623186376455,0.15660884029276,0.150077523719256,0.0928610990928989,0,0.0663106351405885,0.0174649733584973,0.175495259365834,0.124090915380379,0.185038671317107,0.234680054407944,0.0418917437624667,0.0149252929537539,0.176980826232745,0.0127302876039746,0.141603302859858,0.127945571264035,0.0985390409165467,0.111359254322189,0.180105189567766,0.0509822254790443,0.146201977161761,0.144950033402348,0.150607194723545,0.0484365211834953,0.075854260660142,0.0792073707137304,0.0622770589682531,0.182555593986565,0.0526938470306419,0.0329278075920499,0.120453336268148,0.077030863511772,0.086619657378368,0.21164260340432,0.131136221093005,0.126053516515749,0.0761671502033243,0.0920791630280004,0.155538873935503,0.0729747256365297,0.176021394765888,0.103982792897429,0.113491773304825,0.0491275927101986,0.10916878915645,0.281994308466708,0.148043920776529,0.129398780542532,0.183795007749981,0.063614319315463
