"","Taxon","Seed dry mass","Plant height vegetative","Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)","C3","C4","CAM","C3/C4","Non-N-fixer","N-fixer","Graminoid","Woody","Vine","Forb","species","blooming.period..early","blooming.period..early.mid","blooming.period...mid","blooming.period..mid.late","blooming.period..late","MgmtTarget","Dry Prairie","Savanna","NA","Mesic Prairie","Wet Prairie","cover.low","cover.medium","cover.high","cover.very.high","Forbs, Ferns and Fern Allies","Grasses and sedges","Low shrubs","Shrubs","Half shrubs","Climbing plants"
"1","SYMPHORICARPOS ALBUS",0.1586,88,0.291,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"2","SYMPHORICARPOS ALBUS",0.33,72,0.287,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"3","SYMPHORICARPOS ALBUS",2.66,27,32.2751322751323,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"4","SYMPHORICARPOS ALBUS",0.1684,6,38.871473354232,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"5","SYMPHORICARPOS ALBUS",25.5768,15,0.385,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"6","SYMPHORICARPOS ALBUS",1.982,18,0.342269883824844,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"7","SYMPHORICARPOS ALBUS",1.663,44,0.319,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"8","SYMPHORICARPOS ALBUS",0.945,243.84,0.277777777777778,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"9","SYMPHORICARPOS ALBUS",3.04,175,0.188,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"10","SYMPHORICARPOS ALBUS",0.4324,57,0.138391737891738,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"11","SYMPHORICARPOS ALBUS",1.7,79,0.381,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
